FID,GID,CMPTRL_NBR,CNTY_NM,DIST_NM,DPS_NBR,CNTY_FIPS,CNTY_NBR,DIST_NBR,MSA1990,MSA2000,MSA2010,SHAPE_Length,SHAPE_Area
72,146,201,Rusk,Tyler,201,48401,201,10,Y,Y,Y,2.44786895395733,0.232435945931032
73,147,67,Eastland,Brownwood,67,48133,68,23,N,N,N,1.98866879728797,0.230684181530801
74,148,221,Taylor,Abilene,221,48441,221,8,Y,Y,Y,1.92001280962396,0.227958764105256
75,149,72,Erath,Fort Worth,72,48143,73,2,N,N,N,2.11437800522934,0.269412348464133
76,150,177,Nolan,Abilene,177,48353,177,8,N,N,N,1.91060422654756,0.226700712091568
77,151,183,Panola,Atlanta,183,48365,183,19,N,N,N,2.05738327016143,0.203268384159424
78,152,168,Mitchell,Abilene,168,48335,168,8,N,N,N,1.91467473283867,0.227360821885611
79,153,114,Howard,Abilene,114,48227,115,8,N,N,N,1.90037524065767,0.224254076195528
80,154,156,Martin,Odessa,159,48317,156,6,N,N,Y,1.91268474908405,0.227088607231661
81,155,2,Andrews,Odessa,2,48003,2,6,N,N,N,2.57960271701029,0.372269628809203
82,156,111,Hood,Fort Worth,111,48221,112,2,N,N,Y,1.39800375058954,0.109374160547366
83,157,126,Johnson,Fort Worth,126,48251,127,2,Y,Y,Y,1.82806611113893,0.182149300617823
84,158,70,Ellis,Dallas,70,48139,71,18,Y,Y,Y,2.24502500361233,0.236142235788908
85,159,212,Smith,Tyler,212,48423,212,10,Y,Y,Y,2.91921674407381,0.23571878418265
86,160,92,Gregg,Tyler,92,48183,93,10,Y,Y,Y,1.34278333782471,0.068262205830876
87,161,129,Kaufman,Dallas,129,48257,130,18,Y,Y,Y,2.00223117437369,0.20093531226994
88,162,102,Harrison,Atlanta,102,48203,103,19,N,N,N,2.56357207378238,0.227726012898743
89,163,234,Van Zandt,Tyler,234,48467,234,10,N,N,N,2.40284409243015,0.213776843534267
90,164,209,Shackelford,Abilene,209,48417,209,8,N,N,N,1.91581950707266,0.228163273582286
91,165,127,Jones,Abilene,127,48253,128,8,Y,Y,Y,1.95256039332003,0.233292158259599
92,166,215,Stephens,Brownwood,215,48429,215,23,N,N,N,1.92250022670878,0.229654318195516
93,167,76,Fisher,Abilene,76,48151,77,8,N,N,N,1.90303080504635,0.225014429070934
94,168,17,Borden,Abilene,17,48033,17,8,N,N,N,1.90867954467463,0.22582426358585
95,169,208,Scurry,Abilene,208,48415,208,8,N,N,N,1.90558637965999,0.226711800689649
96,61,181,Orange,Beaumont,181,48361,181,20,Y,Y,Y,1.87203032783738,0.08853216284947
97,62,11,Bastrop,Austin,11,48021,11,14,Y,Y,Y,1.83148220035066,0.217074808918042
98,63,239,Washington,Bryan,239,48477,239,17,N,N,N,2.54710621374756,0.150743603348947
99,64,86,Gillespie,Austin,86,48171,87,14,N,N,N,2.15099785834708,0.257843995696828
100,65,16,Blanco,Austin,16,48031,16,14,N,N,N,1.68359693161735,0.173305970680821
101,66,144,Lee,Austin,144,48287,144,14,N,N,N,2.21385384417297,0.153990528749358
102,67,146,Liberty,Beaumont,146,48291,146,20,Y,Y,Y,2.40183293789117,0.284788646159265
103,68,227,Travis,Austin,227,48453,227,14,Y,Y,Y,2.45827301961643,0.24899651741744
104,69,100,Hardin,Beaumont,100,48199,101,20,Y,Y,Y,2.70612891096755,0.218060471568571
105,70,222,Terrell,Odessa,222,48443,222,6,N,N,N,3.84349506950217,0.572454121426864
106,71,170,Montgomery,Houston,170,48339,170,12,Y,Y,Y,2.68924386340101,0.261548194243143
107,72,218,Sutton,San Angelo,218,48435,218,7,N,N,N,2.53057113510211,0.352582591584375
108,73,134,Kimble,San Angelo,134,48267,134,7,N,N,N,2.47241106039409,0.304157499675038
109,74,22,Brewster,El Paso,22,48043,22,24,N,N,N,6.00489757138012,1.49709365663116
110,75,189,Presidio,El Paso,189,48377,189,24,N,N,N,5.30846553854377,0.93375995344967
111,76,26,Burleson,Bryan,26,48051,26,17,Y,Y,Y,2.4836744809935,0.164949620545195
112,77,246,Williamson,Austin,246,48491,246,14,Y,Y,Y,2.48229184547809,0.276928460632761
113,78,93,Grimes,Bryan,93,48185,94,17,N,N,N,2.42739157868516,0.195299143797617
114,79,150,Llano,Austin,150,48299,150,14,N,N,N,2.32327661233187,0.235689285350273
115,80,157,Mason,Austin,160,48319,157,14,N,N,N,1.92661496458232,0.227714893944775
116,81,204,San Jacinto,Lufkin,204,48407,204,11,Y,Y,N,2.20335767036955,0.153019127015979
